,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'058b372f969b59e8c4a27e224243909c'}),frozenset({'fb55982be901439613a95940feefd9ee'}),7.335988262418781e-05,0.0008593586250261999,5.2399916160134143e-05,0.7142857142857142,831.1846689895469,5.233687371227014e-05,3.4969922448124073
1,frozenset({'e2cac69b319c0f8a21dbf04b925121bf'}),frozenset({'b9900407a55cb2b306ae612415c3340e'}),7.335988262418781e-05,6.287989939216097e-05,5.2399916160134143e-05,0.7142857142857142,11359.523809523807,5.2395303298095314e-05,3.4997799203521263
2,frozenset({'b9900407a55cb2b306ae612415c3340e'}),frozenset({'e2cac69b319c0f8a21dbf04b925121bf'}),6.287989939216097e-05,7.335988262418781e-05,5.2399916160134143e-05,0.8333333333333334,11359.52380952381,5.2395303298095314e-05,5.999559840704256
3,"frozenset({'e2cac69b319c0f8a21dbf04b925121bf', '55bfa0307d7a46bed72c492259921231'})",frozenset({'b9900407a55cb2b306ae612415c3340e'}),3.1439949696080486e-05,6.287989939216097e-05,3.1439949696080486e-05,1.0,15903.333333333334,3.1437972755206705e-05,inf
4,"frozenset({'55bfa0307d7a46bed72c492259921231', 'b9900407a55cb2b306ae612415c3340e'})",frozenset({'e2cac69b319c0f8a21dbf04b925121bf'}),3.1439949696080486e-05,7.335988262418781e-05,3.1439949696080486e-05,1.0,13631.42857142857,3.1437643265061075e-05,inf
5,"frozenset({'4025ee582ef6b8c478af3b44cf89054b', 'f4d705aa95ccca448e5b0deb6e5290ba'})",frozenset({'c211ff3068fcd2f8898192976d8b3a32'}),3.1439949696080486e-05,0.0003248794801928317,3.1439949696080486e-05,1.0,3078.064516129032,3.1429735501565936e-05,inf
6,"frozenset({'4025ee582ef6b8c478af3b44cf89054b', 'c211ff3068fcd2f8898192976d8b3a32'})",frozenset({'f4d705aa95ccca448e5b0deb6e5290ba'}),3.1439949696080486e-05,0.0002515195975686439,3.1439949696080486e-05,1.0,3975.8333333333335,3.143204193258535e-05,inf
7,"frozenset({'f4d705aa95ccca448e5b0deb6e5290ba', 'c211ff3068fcd2f8898192976d8b3a32'})",frozenset({'4025ee582ef6b8c478af3b44cf89054b'}),4.1919932928107315e-05,0.00016767973171242926,3.1439949696080486e-05,0.75,4472.8125,3.14329205729737e-05,3.9993292810731504
8,frozenset({'1dc7685f4fdb9622d84ae2ec658d5bbf'}),frozenset({'e256d05115f9eb3766f3ab752132a4e2'}),9.431984908824147e-05,8.383986585621463e-05,6.287989939216097e-05,0.6666666666666666,7951.666666666666,6.287199162866583e-05,2.999748480402431
9,frozenset({'e256d05115f9eb3766f3ab752132a4e2'}),frozenset({'1dc7685f4fdb9622d84ae2ec658d5bbf'}),8.383986585621463e-05,9.431984908824147e-05,6.287989939216097e-05,0.75,7951.666666666666,6.287199162866583e-05,3.999622720603647
10,frozenset({'e6b314a2236c162ede1a879f1075430f'}),frozenset({'ad4b5def91ac7c575dbdf65b5be311f4'}),9.431984908824147e-05,9.431984908824147e-05,7.335988262418781e-05,0.7777777777777778,8246.172839506173,7.335098639025578e-05,4.499575560679103
11,frozenset({'ad4b5def91ac7c575dbdf65b5be311f4'}),frozenset({'e6b314a2236c162ede1a879f1075430f'}),9.431984908824147e-05,9.431984908824147e-05,7.335988262418781e-05,0.7777777777777778,8246.172839506173,7.335098639025578e-05,4.499575560679103
12,frozenset({'6e423c2d28bfb207e1fd1d6e1df84721'}),frozenset({'fbc1488c1a1e72ba175f53ab29a248e8'}),3.1439949696080486e-05,0.0005763990777614755,3.1439949696080486e-05,1.0,1734.909090909091,3.14218277380708e-05,inf
13,frozenset({'0cfc9fea40ee0f7006d150fbdf3fa808'}),frozenset({'480be8d20c4b6a7df1eae0f2c17f2db2'}),3.1439949696080486e-05,9.431984908824147e-05,3.1439949696080486e-05,1.0,10602.22222222222,3.143698428476981e-05,inf
14,frozenset({'7eaf66aca1ed54df09b3c864b7416110'}),frozenset({'fc5dd987f12a7b823a76a44aa1ba88f6'}),4.1919932928107315e-05,5.2399916160134143e-05,3.1439949696080486e-05,0.75,14313.0,3.1437753095109613e-05,3.9997904003353595
